Mecha Leo,,,,Giga Leo,,,,Alpha Leo,,,,
Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,
82,447.0753721499905,242.90644431882419,,82,354.03256013745704,238.49243986254294,,82,342.59524472926535,305.0456951797158,,
83,446.21617345989205,242.40303368695328,,83,353.88908872901675,238.56140801644398,,83,343.1108933071969,303.9786241015588,,
84,445.6761877828054,241.67816742081448,,84,353.463071313491,238.59416603069616,,84,342.5463396711674,302.9334986681363,,
85,445.1764497565294,241.85931828242582,,85,353.98943421949554,238.75485685071575,,85,341.73582572298324,302.02787290715366,,
86,443.6598013438504,250.5498831434414,,86,352.7824285472687,239.86352105530187,,86,338.9347745750184,302.02466740576494,,
87,445.2282164081191,247.33402793856598,,87,353.37586696749395,239.1026155260299,,87,339.79638707334783,302.2512708787218,,
88,444.20900227256067,250.72993182318012,,88,353.41591061827955,239.11727150537632,,88,340.75424340917294,303.6701877934272,,
89,446.1179474902242,248.48312185779267,,89,360.85207100591714,239.00591715976333,,89,348.35502958579883,300.71005917159766,,
90,445.2049889833176,248.32680201447906,,90,353.8224852071006,243.6923076923077,,90,356.94674556213016,305.396449704142,,
91,446.7692307692308,248.3786982248521,,91,350.1579361671676,238.3012022327179,,91,374.13017751479293,292.1183431952663,,
92,446.7692307692308,248.3786982248521,,92,353.2224146640687,240.84816338312763,,92,374.13017751479293,292.1183431952663,,
93,443.91735395189,248.05730240549826,,93,355.3846153846154,242.1301775147929,,93,383.5029585798817,306.1775147928994,,
94,442.93895065340354,244.84045250633898,,94,351.47928994082844,267.1242603550296,,94,391.31360946745565,302.2721893491124,,
95,445.75098039215686,244.9827450980392,,95,351.47928994082844,267.1242603550296,,95,391.31360946745565,302.2721893491124,,
96,444.07699692780335,245.07056451612902,,96,355.3846153846154,250.72189349112426,,96,393.6568047337278,302.2721893491124,,
97,444.74143034469586,244.07934689200803,,97,360.07100591715977,256.9704142011834,,97,391.31360946745565,300.71005917159766,,
98,445.2606959498003,243.43040501996578,,98,359.2899408284024,256.9704142011834,,98,390.5325443786982,303.05325443786984,,
99,445.26482326111744,242.94412770809578,,99,356.94674556213016,255.40828402366864,,99,391.31360946745565,297.58579881656806,,
100,445.68342482904745,242.72898006356544,,100,356.94674556213016,255.40828402366864,,100,388.18934911242604,303.05325443786984,,
101,444.36894667420387,242.85189372526852,,101,354.603550295858,254.62721893491124,,101,387.40828402366867,300.71005917159766,,
102,445.8916187103438,242.19824406079383,,102,354.603550295858,254.62721893491124,,102,388.18934911242604,301.49112426035504,,
103,448.02535190507774,242.02660476085194,,103,354.603550295858,254.62721893491124,,103,383.5029585798817,304.61538461538464,,
104,448.05711715763437,241.19998500862002,,104,353.8224852071006,254.62721893491124,,104,386.62721893491124,301.49112426035504,,
105,447.38424396442184,241.75628970775097,,105,353.8224852071006,254.62721893491124,,105,388.18934911242604,301.49112426035504,,
106,448.18837400603235,242.46211498034913,,106,353.8224852071006,254.62721893491124,,106,388.18934911242604,301.49112426035504,,
107,447.8640361494392,241.72549019607843,,107,353.8224852071006,254.62721893491124,,107,392.8757396449704,297.58579881656806,,
108,447.8238726348253,241.5430524297741,,108,352.2603550295858,251.50295857988166,,108,388.18934911242604,298.36686390532543,,
109,447.529486036839,239.8575460487225,,109,353.8224852071006,253.06508875739647,,109,387.40828402366867,298.36686390532543,,
110,448.222247688899,242.24043089617237,,110,353.0414201183432,253.06508875739647,,110,386.62721893491124,300.71005917159766,,
111,446.83366278644115,243.7996925104327,,111,352.2603550295858,253.06508875739647,,111,386.62721893491124,303.8343195266272,,
112,446.0196305742329,244.02009428858486,,112,353.0414201183432,255.40828402366864,,112,391.31360946745565,299.92899408284023,,
113,446.5604562060055,242.2895838902254,,113,354.603550295858,251.50295857988166,,113,388.18934911242604,302.2721893491124,,
114,447.23782034461647,244.23414676812732,,114,352.2603550295858,255.40828402366864,,114,390.5325443786982,302.2721893491124,,
115,445.6766415331448,239.35650329877475,,115,354.603550295858,253.06508875739647,,115,390.5325443786982,298.36686390532543,,
116,446.55574956348215,241.19930157146422,,116,353.0414201183432,253.84615384615384,,116,387.40828402366867,299.14792899408286,,
117,447.4074074074074,243.0242707637497,,117,353.0414201183432,253.84615384615384,,117,387.40828402366867,299.14792899408286,,
118,446.49850244722035,242.8622981956315,,118,353.0414201183432,253.84615384615384,,118,384.28402366863907,300.71005917159766,,
119,448.3313609467456,240.5680473372781,,119,355.3846153846154,255.40828402366864,,119,388.18934911242604,301.49112426035504,,
120,448.3313609467456,238.22485207100593,,120,353.0414201183432,255.40828402366864,,120,388.9704142011834,301.49112426035504,,
